Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
ERR160130_1	64.83859932945812	19.992436380492077	6.786870656858291	2.6091160409209033	1.224523238093759	0.7139806166037732	0.44040895217231973	0.3574171119023914	0.2358997927561038	1.9398425697217268	0.4723758082213428	0.3885295027992774	0.0	0.0	0.0	0.0
ERR160130_1_val_1	64.46572091591004	20.32884376466061	6.826037005133437	2.6285557180061385	1.206819782737474	0.7032309407876821	0.4406531496779003	0.3294526907118013	0.2371021034951498	1.9533169815116977	0.49376827872424894	0.3846034688056299	0.001895199838280651	0.0	0.0	0.0
ERR160130_2	69.85480396229634	17.715843863425306	5.649119898388806	2.1313257744443614	0.9361150888942479	0.5626011781981975	0.38326781282978206	0.2578587387877349	0.20272262271992164	1.5802852200826771	0.4452479138704545	0.2808079260622442	0.0	0.0	0.0	0.0
ERR160130_2_val_2	68.30812125503961	18.63546441892037	5.874167461465664	2.2498202366743163	1.0357003503254234	0.5969851443122638	0.379437965808485	0.2781829896448015	0.2129735643073514	1.6832661128568138	0.4565652447608332	0.2893152558840767	0.0	0.0	0.0	0.0
ERR160131_1	68.4851963136797	19.03406809735915	5.8885059684746635	2.008689797878891	0.9222018629676982	0.5343536607881019	0.3508035909106238	0.23831252714016155	0.19725096097379524	1.7068142970517797	0.4099150010403757	0.2238879217350222	0.0	0.0	0.0	0.0
ERR160131_1_val_1	68.4866260531003	19.408134454490106	5.721469890925203	1.9627987175086108	0.8948698356678122	0.5168322433898929	0.3361539863738095	0.2660179873338437	0.20370981754612624	1.6569634878120045	0.37401864856469497	0.17240487728763063	0.0	0.0	0.0	0.0
ERR160131_2	81.06418445729369	12.119212711749583	3.2111938852659443	1.1164253864158145	0.509898032630924	0.29115432520372225	0.19679298197288392	0.1496186969119746	0.11240764630909925	0.9336662871783573	0.22621365618572914	0.06923193288225456	0.0	0.0	0.0	0.0
ERR160131_2_val_2	77.01471015618779	14.705388200406286	3.9109298103771875	1.3587924343622773	0.602759604192717	0.3438215668066938	0.24751736114055684	0.17917322894206197	0.12374264165073451	1.1421908857715843	0.2948471658633966	0.0761269442988449	0.0	0.0	0.0	0.0
ERR160132_1	64.66170941149673	19.5610910659141	6.268662376184861	2.688764741863771	1.233750198425934	0.7449002873967133	0.500844013280255	0.40695781283006	0.32794741068460564	2.2355658233417395	0.5948176812644956	0.7298949549868298	0.02836329189277558	0.01673093043721409	0.0	0.0
ERR160132_1_val_1	64.25933415750576	19.87140462963171	6.328292800196758	2.682906259328625	1.2509707630107314	0.7621423360783335	0.5040385597254696	0.3960897408401666	0.3140429659209903	2.257065822790296	0.6105563544122175	0.7160421454134955	0.029796826845688597	0.017316638299851618	0.0	0.0
ERR160132_2	68.98589548515915	17.64427254273017	5.54921474409007	2.1037102602118125	1.0600628218588644	0.6038581917890593	0.4408545622537978	0.30261432057598675	0.2596777030516533	1.8540331244983586	0.5123614409797642	0.6516071223238303	0.022082588648314177	0.009755091829089211	0.0	0.0
ERR160132_2_val_2	67.57879738279765	18.451081537699533	5.781483107966398	2.2047703807788612	1.1062559291239613	0.6029738203167635	0.45505030560483745	0.32989220458634755	0.28800565887205737	1.9758962779912455	0.5390199575463901	0.6514278334244497	0.024908419213264275	0.010437184078245504	0.0	0.0
ERR160133_1	66.0742276977212	19.427100523532136	6.370831804949742	2.493493786431237	1.2170330262363087	0.6762611865694832	0.3995281698361286	0.299343971000872	0.24730732720289664	1.887453627412789	0.5212775670635956	0.3861413120435589	0.0	0.0	0.0	0.0
ERR160133_1_val_1	65.24421180850798	20.00183462588947	6.507225547168083	2.563224666014529	1.2255723450888132	0.6857161833910423	0.4058834913809712	0.2925702998612248	0.23445295032458868	1.9358151784050588	0.520310991475692	0.3831819124925832	0.0	0.0	0.0	0.0
ERR160133_2	71.09044229419756	17.421769405743376	5.25848618535524	1.9600097291788319	0.8725474168268554	0.5118521179897001	0.3424228735494386	0.24308473509669115	0.18183170492525885	1.4491239130583136	0.4337353079179875	0.23469431616065617	0.0	0.0	0.0	0.0
ERR160133_2_val_2	69.32809213323439	18.536716760412684	5.580776637218422	2.0325468066472587	0.9431679148797566	0.5221881167214537	0.3819747177283901	0.23118851451362174	0.18708434398387652	1.531192241709443	0.473451654759299	0.2516201581915041	0.0	0.0	0.0	0.0
ERR160134_1	64.41204314052199	19.604254273266474	6.562930635973903	2.776891963493943	1.3071916831175647	0.7850966974122084	0.5339560363558028	0.3657022123088862	0.2785724504980877	2.2477464281344273	0.5885881571595996	0.5059051271703123	0.024803050652119053	0.006318143934723465	0.0	0.0
ERR160134_1_val_1	63.947668048844896	19.957499908819674	6.66351786636713	2.7490109725606406	1.3013866422854183	0.7562192742737215	0.5431911523289252	0.36688261732353045	0.3079174982582865	2.266839079295534	0.6082044474475407	0.49240077285412553	0.032619001748507306	0.006642717592067553	0.0	0.0
ERR160134_2	69.30860735498666	17.39589394061733	5.668730361574533	2.1784501576229554	1.0532321009442036	0.6580481931502246	0.4126938811033042	0.2934953747601301	0.249518154153951	1.820887692426983	0.5577212518028254	0.3831347476948874	0.01657101120809807	0.003015777953797488	0.0	0.0
ERR160134_2_val_2	67.58868396879922	18.433494381985714	5.978280070173106	2.2535921515487685	1.1014805232478044	0.6742602065094273	0.451007274309585	0.32781859026397886	0.22851800879405654	1.9596418194904615	0.5822838876657259	0.39850624342926816	0.019112414816160557	0.003320458966655834	0.0	0.0
ERR160135_1	56.75244912731267	23.785151781404355	9.114268131872917	3.782763380000495	1.7746410727527373	0.9521686472577919	0.5257382959152292	0.3995113207413789	0.3041828860447446	1.903355071733728	0.35926883711089286	0.3465014478530097	0.0	0.0	0.0	0.0
ERR160135_1_val_1	55.68016537974645	24.61717980338161	9.263329961352277	3.7963903395984198	1.7641556241664216	0.9616715496673216	0.563357302203211	0.41496998702321086	0.29030800287904557	1.93996168190094	0.3717678703348708	0.33674249774627235	0.0	0.0	0.0	0.0
ERR160135_2	61.67964029909917	21.886908673808193	8.093143678727069	3.056246270959672	1.4111898630801678	0.7425074374168644	0.46460114588869844	0.33213124730186794	0.24572773742359502	1.5309573148449833	0.34290436337674235	0.21404196807308618	0.0	0.0	0.0	0.0
ERR160135_2_val_2	59.504278031797185	23.13969425363361	8.605390109951106	3.2090589225022623	1.5020088240525329	0.7659828184311663	0.46891044410562893	0.35763688073536665	0.25404715910025244	1.6255700291627775	0.3293752370689077	0.23804728945920708	0.0	0.0	0.0	0.0
ERR160136_1	59.695092494911364	23.293924914692347	8.284407901831143	3.333071317786114	1.328766903139274	0.7236548129358049	0.4670407404195615	0.2953533620462742	0.2543970306970354	1.7346635499780474	0.30655407829686265	0.2830728932661451	0.0	0.0	0.0	0.0
ERR160136_1_val_1	58.868513673142175	23.985044574098325	8.40978714961566	3.246428617202928	1.3622924014671305	0.7460872104726836	0.46730292662455697	0.3167412495335958	0.2566272548458699	1.7409165657670003	0.3161910678743265	0.2820090473855975	0.0020582619700598606	0.0	0.0	0.0
ERR160136_2	64.1008773498838	21.134886745409503	7.285227350741505	2.725704520403074	1.1966964892940726	0.6384389395896368	0.43799834148135713	0.2641932717453996	0.21004905674977004	1.4942161594053132	0.2774640079191513	0.2342477673775527	0.0	0.0	0.0	0.0
ERR160136_2_val_2	62.244964281077785	22.230039023285823	7.6584609514840984	2.988689965105309	1.19698955565346	0.671870250492752	0.4090057875075565	0.27344299910363784	0.22132748954462803	1.5526718710727603	0.3118162214533719	0.24072160421884384	0.0	0.0	0.0	0.0
